match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1475248,2025,2025-04-21,"National Stadium, Karachi",1,0.1,Peshawar Zalmi,Karachi Kings,Babar Azam,Saim Ayub,Mir Hamza,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,0.2,Peshawar Zalmi,Karachi Kings,Babar Azam,Saim Ayub,Mir Hamza,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,0.3,Peshawar Zalmi,Karachi Kings,Babar Azam,Saim Ayub,Mir Hamza,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,0.4,Peshawar Zalmi,Karachi Kings,Babar Azam,Saim Ayub,Mir Hamza,1,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,0.5,Peshawar Zalmi,Karachi Kings,Saim Ayub,Babar Azam,Mir Hamza,0,1,1,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,0.6,Peshawar Zalmi,Karachi Kings,Saim Ayub,Babar Azam,Mir Hamza,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,0.7,Peshawar Zalmi,Karachi Kings,Saim Ayub,Babar Azam,Mir Hamza,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,1.1,Peshawar Zalmi,Karachi Kings,Babar Azam,Saim Ayub,Hasan Ali,1,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,1.2,Peshawar Zalmi,Karachi Kings,Saim Ayub,Babar Azam,Hasan Ali,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,1.3,Peshawar Zalmi,Karachi Kings,Saim Ayub,Babar Azam,Hasan Ali,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,1.4,Peshawar Zalmi,Karachi Kings,Saim Ayub,Babar Azam,Hasan Ali,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,1.5,Peshawar Zalmi,Karachi Kings,Saim Ayub,Babar Azam,Hasan Ali,0,1,1,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,1.6,Peshawar Zalmi,Karachi Kings,Saim Ayub,Babar Azam,Hasan Ali,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,1.7,Peshawar Zalmi,Karachi Kings,Saim Ayub,Babar Azam,Hasan Ali,4,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,2.1,Peshawar Zalmi,Karachi Kings,Babar Azam,Saim Ayub,Mir Hamza,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,2.2,Peshawar Zalmi,Karachi Kings,Babar Azam,Saim Ayub,Mir Hamza,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,2.3,Peshawar Zalmi,Karachi Kings,Babar Azam,Saim Ayub,Mir Hamza,1,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,2.4,Peshawar Zalmi,Karachi Kings,Saim Ayub,Babar Azam,Mir Hamza,0,0,,,,,,caught,Saim Ayub,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,2.5,Peshawar Zalmi,Karachi Kings,T Kohler-Cadmore,Babar Azam,Mir Hamza,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,2.6,Peshawar Zalmi,Karachi Kings,T Kohler-Cadmore,Babar Azam,Mir Hamza,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,3.1,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Hasan Ali,0,1,1,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,3.2,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Hasan Ali,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,3.3,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Hasan Ali,4,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,3.4,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Hasan Ali,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,3.5,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Hasan Ali,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,3.6,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Hasan Ali,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,3.7,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Hasan Ali,1,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,4.1,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Mir Hamza,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,4.2,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Mir Hamza,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,4.3,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Mir Hamza,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,4.4,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Mir Hamza,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,4.5,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Mir Hamza,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,4.6,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Mir Hamza,2,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,5.1,Peshawar Zalmi,Karachi Kings,T Kohler-Cadmore,Babar Azam,Abbas Afridi,1,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,5.2,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Abbas Afridi,4,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,5.3,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Abbas Afridi,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,5.4,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Abbas Afridi,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,5.5,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Abbas Afridi,4,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,5.6,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Abbas Afridi,1,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,6.1,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Khushdil Shah,2,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,6.2,Peshawar Zalmi,Karachi Kings,Babar Azam,T Kohler-Cadmore,Khushdil Shah,1,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,6.3,Peshawar Zalmi,Karachi Kings,T Kohler-Cadmore,Babar Azam,Khushdil Shah,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,6.4,Peshawar Zalmi,Karachi Kings,T Kohler-Cadmore,Babar Azam,Khushdil Shah,6,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,6.5,Peshawar Zalmi,Karachi Kings,T Kohler-Cadmore,Babar Azam,Khushdil Shah,0,0,,,,,,caught,T Kohler-Cadmore,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,6.6,Peshawar Zalmi,Karachi Kings,Mohammad Haris,Babar Azam,Khushdil Shah,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,7.1,Peshawar Zalmi,Karachi Kings,Babar Azam,Mohammad Haris,Mohammad Nabi,0,1,1,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,7.2,Peshawar Zalmi,Karachi Kings,Babar Azam,Mohammad Haris,Mohammad Nabi,1,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,7.3,Peshawar Zalmi,Karachi Kings,Mohammad Haris,Babar Azam,Mohammad Nabi,2,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,7.4,Peshawar Zalmi,Karachi Kings,Mohammad Haris,Babar Azam,Mohammad Nabi,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,7.5,Peshawar Zalmi,Karachi Kings,Mohammad Haris,Babar Azam,Mohammad Nabi,1,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,7.6,Peshawar Zalmi,Karachi Kings,Babar Azam,Mohammad Haris,Mohammad Nabi,4,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,7.7,Peshawar Zalmi,Karachi Kings,Babar Azam,Mohammad Haris,Mohammad Nabi,1,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,8.1,Peshawar Zalmi,Karachi Kings,Babar Azam,Mohammad Haris,Aamer Jamal,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,8.2,Peshawar Zalmi,Karachi Kings,Babar Azam,Mohammad Haris,Aamer Jamal,4,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,8.3,Peshawar Zalmi,Karachi Kings,Babar Azam,Mohammad Haris,Aamer Jamal,0,1,1,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,8.4,Peshawar Zalmi,Karachi Kings,Babar Azam,Mohammad Haris,Aamer Jamal,2,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,8.5,Peshawar Zalmi,Karachi Kings,Babar Azam,Mohammad Haris,Aamer Jamal,4,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,8.6,Peshawar Zalmi,Karachi Kings,Babar Azam,Mohammad Haris,Aamer Jamal,0,1,1,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,8.7,Peshawar Zalmi,Karachi Kings,Babar Azam,Mohammad Haris,Aamer Jamal,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,8.8,Peshawar Zalmi,Karachi Kings,Babar Azam,Mohammad Haris,Aamer Jamal,1,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,9.1,Peshawar Zalmi,Karachi Kings,Babar Azam,Mohammad Haris,Khushdil Shah,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,9.2,Peshawar Zalmi,Karachi Kings,Babar Azam,Mohammad Haris,Khushdil Shah,4,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,9.3,Peshawar Zalmi,Karachi Kings,Babar Azam,Mohammad Haris,Khushdil Shah,2,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,9.4,Peshawar Zalmi,Karachi Kings,Babar Azam,Mohammad Haris,Khushdil Shah,1,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,9.5,Peshawar Zalmi,Karachi Kings,Mohammad Haris,Babar Azam,Khushdil Shah,1,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,9.6,Peshawar Zalmi,Karachi Kings,Babar Azam,Mohammad Haris,Khushdil Shah,0,0,,,,,,lbw,Babar Azam,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,10.1,Peshawar Zalmi,Karachi Kings,Mohammad Haris,Hussain Talat,Abbas Afridi,4,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,10.2,Peshawar Zalmi,Karachi Kings,Mohammad Haris,Hussain Talat,Abbas Afridi,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,10.3,Peshawar Zalmi,Karachi Kings,Mohammad Haris,Hussain Talat,Abbas Afridi,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,10.4,Peshawar Zalmi,Karachi Kings,Mohammad Haris,Hussain Talat,Abbas Afridi,1,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,10.5,Peshawar Zalmi,Karachi Kings,Hussain Talat,Mohammad Haris,Abbas Afridi,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,10.6,Peshawar Zalmi,Karachi Kings,Hussain Talat,Mohammad Haris,Abbas Afridi,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,11.1,Peshawar Zalmi,Karachi Kings,Mohammad Haris,Hussain Talat,Mohammad Nabi,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,11.2,Peshawar Zalmi,Karachi Kings,Mohammad Haris,Hussain Talat,Mohammad Nabi,1,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,11.3,Peshawar Zalmi,Karachi Kings,Hussain Talat,Mohammad Haris,Mohammad Nabi,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,11.4,Peshawar Zalmi,Karachi Kings,Hussain Talat,Mohammad Haris,Mohammad Nabi,4,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,11.5,Peshawar Zalmi,Karachi Kings,Hussain Talat,Mohammad Haris,Mohammad Nabi,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,11.6,Peshawar Zalmi,Karachi Kings,Hussain Talat,Mohammad Haris,Mohammad Nabi,1,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,12.1,Peshawar Zalmi,Karachi Kings,Hussain Talat,Mohammad Haris,Mir Hamza,0,0,,,,,,,,,
1475248,2025,2025-04-21,"National Stadium, Karachi",1,12.2,Peshawar Zalmi,Karachi Kings,Hussain Talat,Mohammad Haris,Mir Hamza,4,0,,,,,,,,,
