match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,0.1,Islamabad United,Multan Sultans,Sahibzada Farhan,AGS Gous,DJ Willey,0,0,,,,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,0.2,Islamabad United,Multan Sultans,Sahibzada Farhan,AGS Gous,DJ Willey,1,0,,,,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,0.3,Islamabad United,Multan Sultans,AGS Gous,Sahibzada Farhan,DJ Willey,0,0,,,,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,0.4,Islamabad United,Multan Sultans,AGS Gous,Sahibzada Farhan,DJ Willey,4,0,,,,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,0.5,Islamabad United,Multan Sultans,AGS Gous,Sahibzada Farhan,DJ Willey,0,0,,,,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,0.6,Islamabad United,Multan Sultans,AGS Gous,Sahibzada Farhan,DJ Willey,0,0,,,,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,1.1,Islamabad United,Multan Sultans,Sahibzada Farhan,AGS Gous,MG Bracewell,4,0,,,,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,1.2,Islamabad United,Multan Sultans,Sahibzada Farhan,AGS Gous,MG Bracewell,1,0,,,,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,1.3,Islamabad United,Multan Sultans,AGS Gous,Sahibzada Farhan,MG Bracewell,0,0,,,,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,1.4,Islamabad United,Multan Sultans,AGS Gous,Sahibzada Farhan,MG Bracewell,0,4,,,4,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,1.5,Islamabad United,Multan Sultans,AGS Gous,Sahibzada Farhan,MG Bracewell,1,0,,,,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,1.6,Islamabad United,Multan Sultans,Sahibzada Farhan,AGS Gous,MG Bracewell,1,0,,,,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,2.1,Islamabad United,Multan Sultans,Sahibzada Farhan,AGS Gous,DJ Willey,0,0,,,,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,2.2,Islamabad United,Multan Sultans,Sahibzada Farhan,AGS Gous,DJ Willey,0,0,,,,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,2.3,Islamabad United,Multan Sultans,Sahibzada Farhan,AGS Gous,DJ Willey,0,0,,,,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,2.4,Islamabad United,Multan Sultans,Sahibzada Farhan,AGS Gous,DJ Willey,4,0,,,,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,2.5,Islamabad United,Multan Sultans,Sahibzada Farhan,AGS Gous,DJ Willey,0,0,,,,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,2.6,Islamabad United,Multan Sultans,Sahibzada Farhan,AGS Gous,DJ Willey,1,0,,,,,,,,,
1475244,2025,2025-04-16,Rawalpindi Cricket Stadium,1,3.1,Islamabad United,Multan Sultans,Sahibzada Farhan,AGS Gous,MG Bracewell,6,0,,,,,,,,,
