match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1475242,2025,2025-04-14,Rawalpindi Cricket Stadium,1,0.1,Islamabad United,Peshawar Zalmi,Sahibzada Farhan,AGS Gous,AS Joseph,0,0,,,,,,,,,
1475242,2025,2025-04-14,Rawalpindi Cricket Stadium,1,0.2,Islamabad United,Peshawar Zalmi,Sahibzada Farhan,AGS Gous,AS Joseph,0,0,,,,,,,,,
1475242,2025,2025-04-14,Rawalpindi Cricket Stadium,1,0.3,Islamabad United,Peshawar Zalmi,Sahibzada Farhan,AGS Gous,AS Joseph,2,0,,,,,,,,,
1475242,2025,2025-04-14,Rawalpindi Cricket Stadium,1,0.4,Islamabad United,Peshawar Zalmi,Sahibzada Farhan,AGS Gous,AS Joseph,1,0,,,,,,,,,
1475242,2025,2025-04-14,Rawalpindi Cricket Stadium,1,0.5,Islamabad United,Peshawar Zalmi,AGS Gous,Sahibzada Farhan,AS Joseph,0,0,,,,,,,,,
1475242,2025,2025-04-14,Rawalpindi Cricket Stadium,1,0.6,Islamabad United,Peshawar Zalmi,AGS Gous,Sahibzada Farhan,AS Joseph,0,0,,,,,,,,,
1475242,2025,2025-04-14,Rawalpindi Cricket Stadium,1,1.1,Islamabad United,Peshawar Zalmi,Sahibzada Farhan,AGS Gous,Mohammad Ali,4,0,,,,,,,,,
1475242,2025,2025-04-14,Rawalpindi Cricket Stadium,1,1.2,Islamabad United,Peshawar Zalmi,Sahibzada Farhan,AGS Gous,Mohammad Ali,2,0,,,,,,run out,AGS Gous,,
1475242,2025,2025-04-14,Rawalpindi Cricket Stadium,1,1.3,Islamabad United,Peshawar Zalmi,C Munro,Sahibzada Farhan,Mohammad Ali,1,0,,,,,,,,,
1475242,2025,2025-04-14,Rawalpindi Cricket Stadium,1,1.4,Islamabad United,Peshawar Zalmi,Sahibzada Farhan,C Munro,Mohammad Ali,0,0,,,,,,,,,
1475242,2025,2025-04-14,Rawalpindi Cricket Stadium,1,1.5,Islamabad United,Peshawar Zalmi,Sahibzada Farhan,C Munro,Mohammad Ali,4,0,,,,,,,,,
1475242,2025,2025-04-14,Rawalpindi Cricket Stadium,1,1.6,Islamabad United,Peshawar Zalmi,Sahibzada Farhan,C Munro,Mohammad Ali,0,0,,,,,,,,,
1475242,2025,2025-04-14,Rawalpindi Cricket Stadium,1,2.1,Islamabad United,Peshawar Zalmi,C Munro,Sahibzada Farhan,AS Joseph,4,0,,,,,,,,,
1475242,2025,2025-04-14,Rawalpindi Cricket Stadium,1,2.2,Islamabad United,Peshawar Zalmi,C Munro,Sahibzada Farhan,AS Joseph,0,0,,,,,,,,,
1475242,2025,2025-04-14,Rawalpindi Cricket Stadium,1,2.3,Islamabad United,Peshawar Zalmi,C Munro,Sahibzada Farhan,AS Joseph,4,0,,,,,,,,,
1475242,2025,2025-04-14,Rawalpindi Cricket Stadium,1,2.4,Islamabad United,Peshawar Zalmi,C Munro,Sahibzada Farhan,AS Joseph,0,0,,,,,,,,,
1475242,2025,2025-04-14,Rawalpindi Cricket Stadium,1,2.5,Islamabad United,Peshawar Zalmi,C Munro,Sahibzada Farhan,AS Joseph,0,5,5,,,,,,,,
